No,섹션No,문항No,문항,보기No,보기
101,S2,Q5,B5. 생활관리 중 가장 만족하는 것은 무엇인가요? ,6,6. 기타
102,S2,Q6,B6. 입시관리 만족도,1,1. 만족
103,S2,Q6,B6. 입시관리 만족도,2,2. 불만족
104,S2,Q7,B7. 입시관리 중 가장 만족하는 것은 무엇인가요?,1,1. 대학별 모집요강 분석 자료 제공 
105,S2,Q7,B7. 입시관리 중 가장 만족하는 것은 무엇인가요?,2,2. 대학별 입시 결과 자료 제공
106,S2,Q7,B7. 입시관리 중 가장 만족하는 것은 무엇인가요?,3,3. 성적&적성에 따른 대학 및 학과 추천
107,S2,Q7,B7. 입시관리 중 가장 만족하는 것은 무엇인가요?,4,4. 수시 지원을 위한 학생부 분석
108,S2,Q7,B7. 입시관리 중 가장 만족하는 것은 무엇인가요?,5,5. 정시 원서 접수를 위한 상담
109,S2,Q7,B7. 입시관리 중 가장 만족하는 것은 무엇인가요?,6,6. 기타
110,S2,Q8,B8. (학습/생활/입시)상담 만족도,1,1. 만족
111,S2,Q8,B8. (학습/생활/입시)상담 만족도,2,2. 불만족
112,S2,Q9,B9. 선생님과의 상담 중 가장 만족하는 것은 무엇인가요?,1,1. 성적/학습 방향 및 계획 관련 상담
113,S2,Q9,B9. 선생님과의 상담 중 가장 만족하는 것은 무엇인가요?,2,2. 생활 및 고민 상담 
114,S2,Q9,B9. 선생님과의 상담 중 가장 만족하는 것은 무엇인가요?,3,3. 입시 및 진학 상담
115,S2,Q9,B9. 선생님과의 상담 중 가장 만족하는 것은 무엇인가요?,4,4. 기타
116,S2,Q10,B10. 희망하는 (학습/생활/입시)상담 주기 및 횟수를 선택해주세요. ,1,1. 주 1~2회 진행
117,S2,Q10,B10. 희망하는 (학습/생활/입시)상담 주기 및 횟수를 선택해주세요. ,2,2. 2주 1회 진행
118,S2,Q10,B10. 희망하는 (학습/생활/입시)상담 주기 및 횟수를 선택해주세요. ,3,3. 3주 1회 진행
119,S2,Q10,B10. 희망하는 (학습/생활/입시)상담 주기 및 횟수를 선택해주세요. ,4,4. 한 달에 한 번 진행
120,S2,Q10,B10. 희망하는 (학습/생활/입시)상담 주기 및 횟수를 선택해주세요. ,5,5. 주기나 횟수에 상관 없이 수시로 진행
121,S2,Q10,B10. 희망하는 (학습/생활/입시)상담 주기 및 횟수를 선택해주세요. ,6,6. 상담 안 함
122,S3,Q1,C1. 입학 상담 시 안내 받은 내용이 실제 학원 이용과 일치하나요? 아닐 경우 이유도 함께 기재해 주세요.,1,1. 네
123,S3,Q1,C1. 입학 상담 시 안내 받은 내용이 실제 학원 이용과 일치하나요? 아닐 경우 이유도 함께 기재해 주세요.,2,"2. 아니오, 이유 : "
124,S3,Q2,C2. 학습 공간 및 시설에 만족하시나요?,1,1. 만족
125,S3,Q2,C2. 학습 공간 및 시설에 만족하시나요?,2,"2. 불만족, 이유 : "
126,S3,Q3,C3. 이투스247학원에 전반적으로 만족하시나요?,1,1. 만족 
127,S3,Q3,C3. 이투스247학원에 전반적으로 만족하시나요?,2,"2. 불만족, 이유 : "
128,S3,Q4,C4. 이투스247학원에서 가장 만족하는 것은 무엇인가요?,1,"1. 학습관리 (학습 성향 및 성취도 진단, 학습 계획 관리, 인강 및 교재 추천 등)"
129,S3,Q4,C4. 이투스247학원에서 가장 만족하는 것은 무엇인가요?,2,"2. 생활관리 (출결 및 전자기기의 관리,  면학분위기 관리)"
130,S3,Q4,C4. 이투스247학원에서 가장 만족하는 것은 무엇인가요?,3,"3. 입시 관리(모의고사 성적 관리, 수시/정시 컨설팅)"
131,S3,Q4,C4. 이투스247학원에서 가장 만족하는 것은 무엇인가요?,4,"4. 정기적 상담(학습, 생활, 입시)"
132,S3,Q4,C4. 이투스247학원에서 가장 만족하는 것은 무엇인가요?,5,5. 학습공간 및 시설
133,S3,Q4,C4. 이투스247학원에서 가장 만족하는 것은 무엇인가요?,6,6. 기타
134,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,1,"1. 학습관리 (학습 성향 및 성취도 진단, 학습 계획 관리, 인강 및 교재 추천 등)"
135,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,2,"2. 생활관리 (출결 및 전자기기의 관리,  면학분위기 관리)"
136,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,3,"3. 입시 관리(모의고사 성적 관리, 수시/정시 컨설팅)"
137,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,4,"4. 정기적 상담(학습, 생활, 입시)"
138,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,5,5. 학습공간 및 시설
139,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,6,6. 무료로 제공하는 학습 콘텐츠
140,S3,Q5,C5. 이투스247학원이 보강해야 할 것은 무엇인가요?,7,7. 기타
141,S3,Q6,C6. 위의 보강점을 선택한 이유에 대해 자유롭게 작성해 주세요.,1,-
142,S4,Q1,D1. 실모 콘텐츠를 구매한 적이 있나요?,1,1. 예
143,S4,Q1,D1. 실모 콘텐츠를 구매한 적이 있나요?,2,"2. 아니오, 이유"
144,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,1,1. 이감
145,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,2,2. 한수
146,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,3,"3. 서바이벌(국,수,영,탐)"
147,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,4,"4. 강대K(국,수,영,탐)"
148,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,5,5. 바탕
149,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,6,6. 상상
150,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,7,7. 없음
151,S4,Q2,D2. 활용하는 실모 콘텐츠는 무엇인가요?,8,8. 기타
152,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,1,1. 콘텐츠의 완성도가 높다는 추천을 받아서
153,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,2,"2. 선배, 친구의 추천으로"
154,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,3,"3. 수능, 모의평가 적중률이 높아서"
155,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,4,4. 주변 학생들이 많이 사용해서
156,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,5,"5. 해당 콘텐츠를 활용하는 단과, 라이브 수업을 수강해서"
157,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,6,6. 선택한 인강 커리큘럼이 해당 콘텐츠와 연계되어 있어서
158,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,7,7. 활용하는 실모 콘텐츠 없음
159,S4,Q3,D3. 위의 실모 콘텐츠를 선택한 주된 이유는 무엇인가요?,8,8. 기타
160,S5,Q1,E1. 현재 이용중인 인강 사이트를 모두 선택해주세요.,1,1. 이투스
161,S5,Q1,E1. 현재 이용중인 인강 사이트를 모두 선택해주세요.,2,2. 메가스터디
162,S5,Q1,E1. 현재 이용중인 인강 사이트를 모두 선택해주세요.,3,3. 대성마이맥
163,S5,Q1,E1. 현재 이용중인 인강 사이트를 모두 선택해주세요.,4,4. EBSi
164,S5,Q1,E1. 현재 이용중인 인강 사이트를 모두 선택해주세요.,5,5. 인강 듣지 않음
165,S5,Q1,E1. 현재 이용중인 인강 사이트를 모두 선택해주세요.,6,6. 기타
166,S5,Q2,E2. 본인의 학습에 가장 큰 비중을 차지하는 '주력' 인강 사이트는 어디인가요?,1,1. 이투스
167,S5,Q2,E2. 본인의 학습에 가장 큰 비중을 차지하는 '주력' 인강 사이트는 어디인가요?,2,2. 메가스터디
168,S5,Q2,E2. 본인의 학습에 가장 큰 비중을 차지하는 '주력' 인강 사이트는 어디인가요?,3,3. 대성마이맥
169,S5,Q2,E2. 본인의 학습에 가장 큰 비중을 차지하는 '주력' 인강 사이트는 어디인가요?,4,4. EBSi
170,S5,Q2,E2. 본인의 학습에 가장 큰 비중을 차지하는 '주력' 인강 사이트는 어디인가요?,5,5. 인강 듣지 않음
171,S5,Q2,E2. 본인의 학습에 가장 큰 비중을 차지하는 '주력' 인강 사이트는 어디인가요?,6,6. 기타
172,S5,Q3,E3. '주력' 인강 사이트에 대해 얼마나 만족하시나요?,1,1. 매우 만족
173,S5,Q3,E3. '주력' 인강 사이트에 대해 얼마나 만족하시나요?,2,2. 만족
174,S5,Q3,E3. '주력' 인강 사이트에 대해 얼마나 만족하시나요?,3,3. 보통
175,S5,Q3,E3. '주력' 인강 사이트에 대해 얼마나 만족하시나요?,4,4. 불만족
176,S5,Q3,E3. '주력' 인강 사이트에 대해 얼마나 만족하시나요?,5,5. 매우 불만족
177,S5,Q3,E3. '주력' 인강 사이트에 대해 얼마나 만족하시나요?,6,6. 인강 듣지 않음
178,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,1,1. '주력' 인강 사이트가 이투스이다
179,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,2,2. 매우 그렇다
180,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,3,3. 그렇다
181,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,4,4. 보통
182,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,5,5. 아니다
183,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,6,6. 전혀 아니다
184,S5,Q4,E4. '주력' 인강 사이트를 '이투스'로 변경 할 의향이 있으신가요?,7,7. 인강 듣지 않음
185,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",1,1. 선생님(학교 또는 학원)의 추천
186,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",2,"2. 지인(친구, 선배, 부모님)의 추천"
187,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",3,"3. 오르비, 수만휘, 포만한 등 커뮤니티 리뷰"
188,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",4,4. 인강 사이트 수강평
189,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",5,"5. SNS(인스타그램, 페이스북, 블로그, X 등)"
190,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",6,6. 사이트 선호도
191,S6,Q1,"F1. 인강 구독권(패스)을 구매할 때, 고려하는 주된 요소는 무엇인가요?",7,7. 인강 구독권(패스) 구매하지 않음
192,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",1,1. 강사의 인지도와 명성
193,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",2,2. 맛보기 강의(OT)를 직접 들어보고 판단
194,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",3,3. 체계적인 연간 커리큘럼 구성
195,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",4,4. 교재의 퀄리티나 디자인이 마음에 들어서
196,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",5,"5. 친구, 선배, 선생님 추천"
197,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",6,6. 온라인 커뮤니티 추천
198,S6,Q2,"F2. 인강을 선택할 때, 가장 결정적인 영향을 미치는 것은 무엇인가요?",7,7. 인강 듣지 않음
199,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,1,1. 시간/장소 활용의 유연성
200,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,2,2. 학습 진도 조절 가능
201,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,3,3. 학습 수준에 맞는 강의 선택
202,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,4,4. 반복 수강을 통한 완벽한 이해
203,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,5,5. 합리적인 수강 비용
204,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,6,6. 유명 강사의 강의 선택 가능
205,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,7,7. 풍부한 학습자료
206,S6,Q3,F3. 인강을 통해 학습하는 주된 이유는 무엇인가요?,8,8. 인강 듣지 않음
207,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,1,1. 이투스 김민정
208,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,2,2. 이투스 박광일
209,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,3,3. 메가스터디 강민철
210,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,4,4. 메가스터디 김동욱
211,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,5,5. 메가스터디 전형태
212,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,6,6. 메가스터디 김상훈
213,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,7,7. 대성마이맥 김승리
214,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,8,8. 대성마이맥 유대종
215,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,9,9. 오르비클래스 심찬우
216,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,10,10. EBSi 윤혜정
217,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,11,11. 인강 듣지 않음
218,S7,Q1,G1. 현재 본인이 수강하고 있는 <국어> 인강 강사는 누구인가요?,12,12. 보기에 언급되지 않은 강사(사이트/강사명)
